state,series_id,epop_id
United States,LNS14000000,
Alaska,LASST020000000000003,LASST020000000000007
Alabama,LASST010000000000003,LASST010000000000007
Arkansas,LASST050000000000003,LASST050000000000007
Arizona,LASST040000000000003,LASST040000000000007
California,LASST060000000000003,LASST060000000000007
Colorado,LASST080000000000003,LASST080000000000007
Connecticut,LASST090000000000003,LASST090000000000007
District of Columbia,LASST110000000000003,LASST110000000000007
Delaware,LASST100000000000003,LASST100000000000007
Florida,LASST120000000000003,LASST120000000000007
Georgia,LASST130000000000003,LASST130000000000007
Hawaii,LASST150000000000003,LASST150000000000007
Iowa,LASST190000000000003,LASST190000000000007
Idaho,LASST160000000000003,LASST160000000000007
Illinois,LASST170000000000003,LASST170000000000007
Indiana,LASST180000000000003,LASST180000000000007
Kansas,LASST200000000000003,LASST200000000000007
Kentucky,LASST210000000000003,LASST210000000000007
Louisiana,LASST220000000000003,LASST220000000000007
Massachusetts,LASST250000000000003,LASST250000000000007
Maryland,LASST240000000000003,LASST240000000000007
Maine,LASST230000000000003,LASST230000000000007
Michigan,LASST260000000000003,LASST260000000000007
Minnesota,LASST270000000000003,LASST270000000000007
Missouri,LASST290000000000003,LASST290000000000007
Mississippi,LASST280000000000003,LASST280000000000007
Montana,LASST300000000000003,LASST300000000000007
North Carolina,LASST370000000000003,LASST370000000000007
North Dakota,LASST380000000000003,LASST380000000000007
Nebraska,LASST310000000000003,LASST310000000000007
New Hampshire,LASST330000000000003,LASST330000000000007
New Jersey,LASST340000000000003,LASST340000000000007
New Mexico,LASST350000000000003,LASST350000000000007
Nevada,LASST320000000000003,LASST320000000000007
New York,LASST360000000000003,LASST360000000000007
Ohio,LASST390000000000003,LASST390000000000007
Oklahoma,LASST400000000000003,LASST400000000000007
Oregon,LASST410000000000003,LASST410000000000007
Pennsylvania,LASST420000000000003,LASST420000000000007
Rhode Island,LASST440000000000003,LASST440000000000007
South Carolina,LASST450000000000003,LASST450000000000007
South Dakota,LASST460000000000003,LASST460000000000007
Tennessee,LASST470000000000003,LASST470000000000007
Texas,LASST480000000000003,LASST480000000000007
Utah,LASST490000000000003,LASST490000000000007
Virginia,LASST510000000000003,LASST510000000000007
Vermont,LASST500000000000003,LASST500000000000007
Washington,LASST530000000000003,LASST530000000000007
Wisconsin,LASST550000000000003,LASST550000000000007
West Virginia,LASST540000000000003,LASST540000000000007
Wyoming,LASST560000000000003,LASST560000000000007
